Word_1,Word_2,Similarity by human judging,Datamuse
love,sex,6.77,0.043692
tiger,cat,7.35,0.125
tiger,tiger,10,1
book,paper,7.46,0.101626
computer,keyboard,7.62,0.104803
computer,internet,7.58,0.102467
plane,car,5.77,0.041708
train,car,6.31,0.096907
telephone,communication,7.5,0.077082
television,radio,6.77,0.213262
media,radio,7.42,0.060431
drug,abuse,6.85,0.040359
bread,butter,6.19,0.199069
cucumber,potato,5.92,0.161765
doctor,nurse,7,0.129149
professor,doctor,6.62,0.062762
student,professor,6.81,0.106742
smart,student,4.62,0.027322
smart,stupid,5.81,0.047956
company,stock,7.08,0.056311
stock,market,8.08,0.111169
stock,phone,1.62,0.022211
stock,CD,1.31,0.003155
stock,jaguar,0.92,0.00869
stock,egg,1.81,0.016354
fertility,egg,6.69,0.020433
stock,live,3.73,0.020398
stock,life,0.92,0.015016
book,library,7.46,0.08234
bank,money,8.12,0.076765
wood,forest,7.73,0.088028
money,cash,9.15,0.222356
professor,cucumber,0.31,0.003537
king,cabbage,0.23,0.003376
king,queen,8.58,0.203928
king,rook,5.92,0.018827
bishop,rabbi,6.69,0.08011
Jerusalem,Israel,8.46,0.148265
Jerusalem,Palestinian,7.65,0.054807
holy,sex,1.62,0.008717
fuck,sex,9.44,0.048713
Maradona,football,8.62,0.021422
football,soccer,9.03,0.219882
football,basketball,6.81,0.178873
football,tennis,6.63,0.117794
tennis,racket,7.56,0.12989
Arafat,peace,6.73,0.016094
Arafat,terror,7.65,0.010963
Arafat,Jackson,2.5,0.028571
law,lawyer,8.38,0.050081
movie,star,7.38,0.046278
movie,popcorn,6.19,0.009669
movie,critic,6.73,0.021026
movie,theater,7.92,0.07384
physics,proton,8.12,0.057892
physics,chemistry,7.35,0.125069
space,chemistry,4.88,0.016337
alcohol,chemistry,5.54,0.024221
vodka,gin,8.46,0.351759
vodka,brandy,8.13,0.32545
drink,car,3.04,0.017882
drink,ear,1.31,0.014006
drink,mouth,5.96,0.027051
drink,eat,6.87,0.081429
baby,mother,7.85,0.091293
drink,mother,2.65,0.008788
car,automobile,8.94,0.265111
gem,jewel,8.96,0.265158
journey,voyage,9.29,0.243762
boy,lad,8.83,0.224267
coast,shore,9.1,0.179027
asylum,madhouse,8.87,0.081925
magician,wizard,9.02,0.150526
midday,noon,9.29,0.28113
furnace,stove,8.79,0.141693
food,fruit,7.52,0.086207
bird,cock,7.1,0.020394
bird,crane,7.38,0.07414
tool,implement,6.46,0.091381
brother,monk,6.27,0.039643
crane,implement,2.69,0.014029
lad,brother,4.46,0.048235
journey,car,5.85,0.033514
monk,oracle,5,0.024374
cemetery,woodland,2.08,0.025035
food,rooster,4.42,0.011955
coast,hill,4.38,0.043788
forest,graveyard,1.85,0.04354
shore,woodland,3.08,0.042683
monk,slave,0.92,0.0371
coast,forest,3.15,0.041752
lad,wizard,0.92,0.01772
chord,smile,0.54,0.016083
glass,magician,2.08,0.00694
noon,string,0.54,0.011905
rooster,voyage,0.62,0.003823
money,dollar,8.42,0.126368
money,cash,9.08,0.222356
money,currency,9.04,0.091979
money,wealth,8.27,0.075532
money,property,7.57,0.037745
money,possession,7.29,0.03114
money,bank,8.5,0.076765
money,deposit,7.73,0.075491
money,withdrawal,6.88,0.017722
money,laundering,5.65,0.033108
money,operation,3.31,0.020823
tiger,jaguar,8,0.166346
tiger,feline,8,0.085691
tiger,carnivore,7.08,0.064574
tiger,mammal,6.85,0.079952
tiger,animal,7,0.111312
tiger,organism,4.77,0.014706
tiger,fauna,5.62,0.030266
tiger,zoo,5.87,0.084327
psychology,psychiatry,8.08,0.141234
psychology,anxiety,7,0.021376
psychology,fear,6.85,0.013903
psychology,depression,7.42,0.016692
psychology,clinic,6.58,0.020492
psychology,doctor,6.42,0.016897
psychology,Freud,8.21,0.065323
psychology,mind,7.69,0.02749
psychology,health,7.23,0.02333
psychology,science,6.71,0.09314
psychology,discipline,5.58,0.04191
psychology,cognition,7.48,0.081007
planet,star,8.45,0.084861
planet,constellation,8.06,0.067973
planet,moon,8.08,0.148127
