Sentence_1,Sentence_2,Similarity by human judging,Datamuse,Word2Vec,Glove,FastText,Yago
Would you like to go out to drink with me tonight?,I really don't know what to eat tonight so I might go out somewhere.,1.01,0.053846,1.164011,3.927507,0.431737,0.237444
I advise you to treat this matter very seriously as it is vital.,"You must take this most seriously, it will affect you.",3.38   ,0.038610,3.129753,3.975813,3.415874,0.159155
When I was going out to meet my friends there was a delay at the train station.,The train operator announced to the passengers that the train would be delayed.,3.13,0.444444,1.159290,3.705540,0.620771,0.216316
"Does music help you to relax, or does it distract you too much?",Does this sponge look wet or dry to you?,0.1 ,0.133333,4.000000,3.918011,4.000000,0.267597
You must realise that you will definitely be punished if you play with the alarm.,He will be harshly punished for setting the fire alarm off.,2.84 ,0.046154,1.882166,3.682163,1.725672,0.214115
I will make you laugh so much that your sides ache.,When I tell you this you will split your sides laughing.,3.75 ,0.823529,1.473814,3.972537,1.252894,0.271032
You shouldn't be covering what you really feel.,"There is no point in covering up what you said, we all know.",2.21  ,0.231884,1.510987,3.933017,0.774611,0.217121
Do you want to come with us to the pub behind the hill?,We are going out for drinks tonight in Salford Quays if you would like to come.,1.82,0.038168,1.801510,3.991047,1.541834,0.180346
"This key doesn't seem to be working, could you give me another?","I dislike the word quay, it confuses me, I always think of things for locks, there's another one. ", 0.72,0.107383,1.169263,3.867138,1.168270,0.209657
The ghost appeared from nowhere and frightened the old man.,"The ghost of Queen Victoria appears to me every night, I don't know why, I don't even like the royals.",1.45,0.352941,4.000000,4.000000,4.000000,0.177758
You're not a good friend if you're not prepared to be present when I need you.,A good friend always seems to be present when you need them.,3.14    ,0.493151,0.210488,3.993843,-0.237927,0.290338
The children crossed the road very safely thanks to the help of the lollipop lady.,"It was feared that the child might not recover, because he was seriously ill.",0.13 ,0.444444,1.517520,3.806630,1.799956,0.088667
I have invited a variety of people to my party so it should be interesting.,A number of invitations were given out to a variety of people inviting them down the pub.,2.18  ,0.377358,-0.348372,3.860978,-0.482121,0.306691
"I offer my condolences to the parents of John Smith, who was unfortunately murdered.",I express my sympathy to John Smith’s parents following his murder. , 3.91,1.200000,4.000000,3.736604,4.000000,0.274217
Boats come in all shapes and sizes but they all do the same thing.,"Chairs can be comfy and not comfy, depending on the chair.",0.5  ,0.015267,0.146304,3.754252,1.669336,0.144429
"If you continuously use these products, I guarantee you will look very young.","I assure you that, by using these products consistently over a long period of time, you will appear really young.",3.58  ,1.076923,1.806868,3.998886,1.347683,0.246401
We ran farther than the other children that day.,You ran farther than anyone today.,2.43,0.047151,3.704255,4.000000,3.566230,0.068488
I always like to have a slice of lemon in my drink especially if it's Coke.,"I like to put a wedge of lemon in my drinks, especially cola.",3.81 ,0.084778,4.000000,3.838439,4.000000,0.493837
"It seems like I've got eczema on my ear doctor, can you recommend something for me?",I had to go to a chemist for a special rash cream for my ear. ,2.05 ,0.030303,2.279458,3.834893,2.019036,0.180706
"I am proud of our nation, well, most of it.",I think of myself as being part of a nation.,1.71  ,0.038835,4.000000,3.913537,4.000000,0.355811
There was a heap of rubble left by the builders outside my house this morning.,"Sometimes in a large crowd accidents may happen, which can cause deadly injuries.",0.09 ,0.015625,1.998028,3.835618,2.433632,0.301330
"Water freezes at a certain temperature, which is zero degrees Celsius.",The temperature of boiling water is 100 C and the temperature of ice is 0 C., 3.08,0.292683,1.713995,3.982725,0.439282,0.436062
"We got home safely in the end, although it was a long journey.","Though it took many hours travel, we finally reached our house safely.",3.06  ,0.037951,1.622797,3.894354,0.986901,0.163132
A man called Dave gave his fiancée a large diamond ring for their engagement.,The man presented a diamond to the woman and asked her to marry him. , 3.22,0.187500,3.179781,4.000000,2.577459,0.195380
"I used to run quite a lot, in fact once I ran for North Tyneside.",I used to climb lots at school as we had a new climbing wall put in the gym.,0.74,0.045977,4.000000,4.000000,4.000000,0.430679
I love to laugh as it makes me happy as well as those around me.,I thought we bargained that it would only cost me a pound.,  0.08,0.029144,4.000000,3.934316,4.000000,0.346600
Because I am the eldest one I should be more responsible.,"Just because of my age, people shouldn't think I'm a responsible adult, but they do? ",2.23,0.028070,3.047561,3.802743,2.597056,0.317950
I need to dash into the kitchen because I think my chip pan is on fire.,In the event of a chip pan fire follow the instructions on the safety note. ,1.7 ,0.769231,-0.461599,3.623254,-1.327594,0.355440
"Peter was a very large youth, whose size intimidated most people, much to his delight. ","Now I wouldn't say he was fat, but I'd certainly say he was one of the larger boys. ",1.96,0.088889,2.320201,3.993129,1.850384,0.257331
"I'm going to buy a grey jumper today, in half an hour.","That's a nice grey top, where did you get it from?", 1.25,0.320000,2.279744,3.856313,2.202070,0.430333
"We got soaked in the rain today, but now we are nice and dry. ","I was absolutely soaking wet last night, I drove my bike through the worst weather. ",1.68,0.037453,3.328628,3.994026,3.369697,0.199192
Global warming is what everyone is worrying about today.,The problem of global warming is a concern to every country in the world at the moment., 3.14,0.285714,1.168722,3.881695,-1.051158,0.131454
He was harshly punished for setting the fire alarms off.,"He delayed his response, in order to create a tense atmosphere. ",0.22,0.014440,4.000000,3.897346,4.000000,0.294108
"That's not a very good car, on the other hand mine is great.",This is a terrible noise level for a new car. ,1.05,0.067527,3.223064,3.975918,2.984546,0.307333
"There was a terrible accident, a pileup, on the M16 today.","It was a terrible accident, no one believed it was possible. ",2.33 ,0.146045,2.974838,4.000000,2.693590,0.336476
After hours of getting lost we eventually arrived at the hotel.,After walking against the strong wind for hours he finally returned home safely. , 1.09,0.333333,4.000000,3.997974,4.000000,0.144794
The first thing I do in a morning is make myself a cup of coffee.,The first thing I do in the morning is have a cup of coffee. ,3.85,3.976744,4.000000,4.000000,4.000000,0.659945
"Someone spilt a drink accidentally on my shirt, so I changed it.","It appears to have shrunk, it wasn't that size before I washed it.",0.48,0.173913,1.089890,3.926524,2.051136,0.279380
"I'm worried most seriously about the presentation, not the essay.",It is mostly very difficult to gain full marks in today's exam.,0.77,0.000000,2.279458,3.983125,2.019036,0.221705
It is mostly very difficult to gain full marks in today's exam.,"The exam was really difficult, I've got no idea if I'm going to pass.",2.54,0.461538,1.517520,3.987653,1.799956,0.314061
